term,category,hot_technology
FieldSoft AIMSonScene,Project management software,FALSE
Fielding Data Labs OptoMizer,Analytical or scientific software,FALSE
Fifth Walk BillingTracker,Billing and invoicing software,FALSE
FifthWalk BillingTracker Pro,Billing and invoicing software,FALSE
Figure 53 QLab,Video creation and editing software,FALSE
File compression,Data compression software,FALSE
File management,Document management software,FALSE
File server,Filesystem software,FALSE
File transfer protocol FTP client,Internet protocol IP multimedia subsystem software,FALSE
File transfer protocol FTP,Internet protocol IP multimedia subsystem software,FALSE
FileHold Systems FileHold,Document management software,FALSE
FileMaker Bento,Data base user interface and query software,FALSE
FileMaker Pro,Data base user interface and query software,FALSE
FileMon,Program testing software,FALSE
FileNet P8,Document management software,FALSE
FileVision,Document management software,FALSE
Filing,Document management software,FALSE
Film processor tracking and management,Medical software,FALSE
FinEng Solutions PerfoRM,Financial analysis software,FALSE
FinEng Solutions Quantis,Financial analysis software,FALSE
Final approach spacing tool FAST,Flight control software,FALSE
FinalBuilder,Development environment software,FALSE
Finance Logix Education Planner,Financial analysis software,FALSE
Finance Logix Insurance Planner,Financial analysis software,FALSE
Finance Logix Retirement Planner,Financial analysis software,FALSE
Financeware AASim,Financial analysis software,FALSE
Financeware Finance File Manager,Document management software,FALSE
Financeware WealthSimulator,Financial analysis software,FALSE
Financial Competence,Financial analysis software,FALSE
Financial Industry Computer Systems Loan Accountant,Accounting software,FALSE
Financial Industry Computer Systems Loan Originator,Financial analysis software,FALSE
Financial Industry Computer Systems Loan Producer,Financial analysis software,FALSE
Financial Planning Consultants Practice Builder,Customer relationship management CRM software,FALSE
Financial Profiles Profiles+ Professional,Financial analysis software,FALSE
Financial accounting,Accounting software,FALSE
Financial aid management system FAM,Data base user interface and query software,FALSE
Financial calculators,Financial analysis software,FALSE
Financial compliance,Compliance software,FALSE
Financial modeling,Financial analysis software,FALSE
Financial needs analysis,Financial analysis software,FALSE
Financial planning presentation,Presentation software,FALSE
Financial planning,Financial analysis software,FALSE
Financial record,Accounting software,FALSE
Financial report generation,Word processing software,FALSE
Financial reporting,Accounting software,FALSE
Financial statement,Accounting software,FALSE
Financial tracking,Accounting software,FALSE
Financial transaction analysis,Financial analysis software,FALSE
FindForms,Information retrieval or search software,FALSE
FindLaw Code of Federal Regulations CFR,Information retrieval or search software,FALSE
FindTarget,Analytical or scientific software,FALSE
Fingerprint databases,Data base user interface and query software,FALSE
Finite Matters PatternStream,Desktop publishing software,FALSE
Finite difference time domain FDTD,Analytical or scientific software,FALSE
Finite element analysis FEA,Analytical or scientific software,FALSE
Finite element analysis,Analytical or scientific software,FALSE
Finite element method FEM,Analytical or scientific software,FALSE
Fire Dynamics Software FDS,Analytical or scientific software,FALSE
Fire Protection Engineering Tools FPETool,Analytical or scientific software,FALSE
Fire Response of Structures Thermal FIRES-T,Analytical or scientific software,FALSE
Fire Simulation Technique FIRST,Analytical or scientific software,FALSE
Fire Spread Probability FSPro,Analytical or scientific software,FALSE
Fire behavior modeling,Analytical or scientific software,FALSE
Fire dynamics simulators,Analytical or scientific software,FALSE
Fire incident reporting,Data base user interface and query software,FALSE
Fire safety inspection and testing,Compliance software,FALSE
Firewall,Network security and virtual private network VPN equipment software,FALSE
First American CoreLogic RealQuest Pro,Data base user interface and query software,FALSE
First American Data Tree Parcel IQ,Data base user interface and query software,FALSE
First Insight E-Z Frame,Medical software,FALSE
First Insight MaximEyes,Medical software,FALSE
First Notice Systems ClaimCapture,Expert system software,FALSE
Fiserv Advanced Underwriting,Financial analysis software,FALSE
Fiserv FSC Manager,Customer relationship management CRM software,FALSE
Fiserv PEP+ reACH,Graphics or photo imaging software,FALSE
Fiserv financial services,Data base user interface and query software,FALSE
Fish stocking databases,Data base user interface and query software,FALSE
FishXing,Analytical or scientific software,FALSE
Fishbowl Warehouse,Inventory management software,FALSE
FitNesse,Program testing software,FALSE
Fitts Geosolutions TWODAN,Analytical or scientific software,FALSE
Fixed income alternative trading systems ATS,Financial analysis software,FALSE
Fixed-assets depreciation,Financial analysis software,FALSE
FlamMap,Analytical or scientific software,FALSE
FlashCut CNC,Computer aided manufacturing CAM software,FALSE
Flat File Checker,Metadata management software,FALSE
Fleet Asset Management and Optimization Solutions FAMOS PEPSE,Analytical or scientific software,FALSE
Fleet management,Materials requirements planning logistics and supply chain software,FALSE
Fleet monitoring,Mobile location based services software,FALSE
Fleetware,Materials requirements planning logistics and supply chain software,FALSE
Fletcher-Flora Health Care Systems FFlex eSuite LIS,Medical software,FALSE
Fletcher-Flora Health Care Systems LabPak LIS,Medical software,FALSE
FlexBox,Web platform development software,FALSE
FlexTraining Total e-Learning Solution,Computer based training software,FALSE
FlexiFinancials FlexiLedger,Accounting software,FALSE
FlexiMusic Composer,Music or sound editing software,FALSE
Flexible dynamics modeling,Analytical or scientific software,FALSE
Flight simulation,Flight control software,FALSE
Flipgrid,Video creation and editing software,FALSE
Flood modeling,Analytical or scientific software,FALSE
FloodMaps,Map creation software,FALSE
Floor planning,Computer aided design CAD software,FALSE
FloorCOST Estimator for Excel,Project management software,FALSE
Flooring Technologies QFloors,Data base user interface and query software,FALSE
Floriani MDQ My Decorative Quilter,Computer aided design CAD software,FALSE
Flow Analysis Software Toolkit FAST,Analytical or scientific software,FALSE
Flow chart,Process mapping and design software,FALSE
FlowJo,Analytical or scientific software,FALSE
Flowcharting,Process mapping and design software,FALSE
Floydware Rosy,Data base user interface and query software,FALSE
Fluent FloWizard,Analytical or scientific software,FALSE
FluidSurveys,Project management software,FALSE
Fluke ClearSight Analyzer,Analytical or scientific software,FALSE
Fluke Corporation FlukeView Forms,Analytical or scientific software,FALSE
Fluke Networks Enterprise LANMeter,Network monitoring software,FALSE
Fluke Networks Fluke TechEXPERT,Expert system software,FALSE
Fluke Networks TechAdvisor Field Access,Analytical or scientific software,FALSE
FlukeView Forms,Document management software,FALSE
Flying PopCorn,Presentation software,FALSE
Focus Floor Covering,Data base user interface and query software,FALSE
Focus point of sale POS,Point of sale POS software,FALSE
Fog Creek Software FogBugz,Development environment software,FALSE
Fog Line Software Truckn Pro,Data base user interface and query software,FALSE
FoldX,Analytical or scientific software,FALSE
Food Service Solutions FoodCo,Inventory management software,FALSE
Food Service Solutions POSitive ID,Point of sale POS software,FALSE
Food Services Solutions DayCap,Accounting software,FALSE
Food inventory,Inventory management software,FALSE
Food safety labeling,Compliance software,FALSE
Foodman Home-Delivery,Point of sale POS software,FALSE
Footmaxx Metascan,Medical software,FALSE
ForTheRecord TheRecord Player,Presentation software,FALSE
Force platform,Analytical or scientific software,FALSE
Force sensitive applications FSA,Analytical or scientific software,FALSE
Foresoft CDS Cogo,Analytical or scientific software,FALSE
Foresoft CDS Model,Analytical or scientific software,FALSE
Forest EcoSurvey,Data base user interface and query software,FALSE
Forest Metrix,Inventory management software,FALSE
Forest vegetation simulators,Analytical or scientific software,FALSE
Forest yield,Analytical or scientific software,FALSE
Formlink HydroGEN,Analytical or scientific software,FALSE
Formula translation/translator FORTRAN,Development environment software,FALSE
Forsk Atoll,Network monitoring software,FALSE
ForteEMR,Medical software,FALSE
Forth,Development environment software,FALSE
Fortius Lab Systems Clinical LIS,Medical software,FALSE
Fortran,Object or component oriented development software,FALSE
Fortress Medical Clindex,Data base user interface and query software,FALSE
Forum One Communications ProjectSpaces,Project management software,FALSE
Foundatino Directory Online (FDO),Data base user interface and query software,FALSE
Fountains Forestry TwoDog,Inventory management software,FALSE
Four Soft 4S VisiLog,Materials requirements planning logistics and supply chain software,FALSE
Four Soft 4S eLog,Materials requirements planning logistics and supply chain software,FALSE
Fourier transform infrared FTIR,Analytical or scientific software,FALSE
Fox Meadows Accent Data Manager,Document management software,FALSE
Fox Meadows ChartingPlus,Data base user interface and query software,FALSE
Fox Meadows EncounterManager,Medical software,FALSE
Fox Meadows Software MediNotes e,Medical software,FALSE
Fractal Concept SoftScan,Analytical or scientific software,FALSE
Fractal pattern analysis,Financial analysis software,FALSE
FramePlot,Analytical or scientific software,FALSE
Framework for integrated test FIT,Program testing software,FALSE
FranklinCovey TabletPlanner,Calendar and scheduling software,FALSE
Fred's Tip Cartridge Picker,Analytical or scientific software,FALSE
Freddie Mac Loan Prospector,Financial analysis software,FALSE
FreeSurfer,Analytical or scientific software,FALSE
